name_key,name_seen,chosen_orcid,candidate_orcids,decided_at,notes
arthur goethem van,Arthur van Goethem,NONE,,2026-04-14T14:54:29,ORCID record exists but is empty
ashwin shashidharan,Ashwin Shashidharan,NONE,,2026-04-14T14:55:22,manual search also found no record
david jonietz,David Jonietz,NONE,,2026-04-14T14:56:23,author affiliation is with commercial business (HERE Switzerland)
haiqi xu,Haiqi Xu,NONE,0000-0003-1751-7447;0000-0002-9778-0992;0009-0003-0356-3810;0000-0002-6150-8540;0009-0002-8033-482X,2026-04-15T09:58:11,to many candidates with too little information
akihiro ueda,Akihiro Ueda,NONE,0000-0002-9059-4927;0000-0002-2885-1873;0009-0002-4104-3763;0009-0002-3192-2107;0000-0002-9636-3011,2026-04-15T15:05:54,several candidates but not distinguishable
ali shokoufandeh,Ali Shokoufandeh,0000-0002-3729-4490,0000-0002-3729-4490,2026-04-15T15:05:54,
alexander zaft,Alexander Zaft,NONE,0009-0005-7855-2862,2026-04-15T15:05:54,not confirmable
allen christopher,Christopher Allen,NONE,0000-0001-9358-4807;0000-0002-0575-1300;0000-0002-2009-1013;0000-0002-9698-4213;0000-0003-3808-5209,2026-04-15T15:05:54,
alvaro lau sarmiento,Alvaro Lau Sarmiento,NONE,,2026-04-15T15:05:54,
andreas reimer,Andreas Reimer,NONE,0000-0002-5115-9092,2026-04-15T15:05:54,
amine medad,Amine Medad,NONE,,2026-04-15T15:05:54,
arge lars,Lars Arge,NONE,,2026-04-15T15:05:54,
anika graupner,Anika Graupner,NONE,,2026-04-15T15:05:54,
atefeh jaleh,Atefeh Jaleh,NONE,,2026-04-15T15:05:54,
athina korfiati,Athina Korfiati,NONE,,2026-04-15T15:05:54,
attanasio yuri,Yuri Attanasio,NONE,,2026-04-15T15:05:54,
axhausen kay,Kay W. Axhausen,NONE,,2026-04-15T15:05:54,
ayaka murakami,Ayaka Murakami,NONE,0000-0003-4009-9191,2026-04-15T15:05:54,
balthasar teuscher,Balthasar Teuscher,0000-0002-2811-1920,0000-0002-2811-1920,2026-04-15T15:05:54,
bas spierings,Bas Spierings,0009-0002-6935-1231,0009-0002-6935-1231,2026-04-15T15:05:54,
alexander simons,Alexander Simons,0000-0001-9269-2152,0000-0002-9105-7656;0000-0001-9269-2152;0009-0000-7251-5845,2026-04-15T15:05:54,
behr timon,Timon Behr,NONE,,2026-04-15T15:05:54,
bistron janina,Janina Bistron,NONE,,2026-04-15T15:05:54,
bortolaso christophe,Christophe Bortolaso,NONE,0000-0002-6635-9345,2026-04-15T15:05:54,
bock fabian,Fabian Bock,NONE,0000-0003-0048-3711;0000-0002-0788-2945,2026-04-15T15:05:54,
bres raphael,Raphaël Bres,0000-0001-5597-8602,0000-0001-5597-8602,2026-04-15T15:05:54,
buffat rene,René Buffat,NONE,0000-0002-9836-3314,2026-04-15T15:05:54,
burt peter,Peter Burt,NONE,0000-0002-8071-5959;0000-0002-9129-060X,2026-04-15T15:05:54,
bram custers,Bram Custers,0000-0001-9342-319X,0000-0001-9342-319X,2026-04-15T15:05:54,
cai haojun,Haojun Cai,NONE,0009-0002-3472-8318,2026-04-15T15:05:54,
adrian sarbach,Adrian Sarbach,NONE,,2026-04-16T13:35:56,
cardoso matias,Matias Cardoso,0009-0003-9939-108X,0000-0002-7578-4052;0009-0003-9939-108X;0009-0004-9048-7920;0009-0003-0110-7918;0000-0002-1130-3539,2026-04-16T13:35:56,
christopher farah,Christopher Farah,NONE,0000-0001-8907-592X;0009-0005-3579-9822;0009-0000-2984-0693,2026-04-16T13:35:56,
